CDSACCNO,precision@k,recall@k,num_test_items,portfolio_size,recommendations
BMS-16804-LI/00,0.0,0.0,1,19,"['MARA', 'TAP', 'MBSL', 'HELA', 'REEF', 'LVEF', 'MRH', 'PINS', 'UBC', 'VPEL']"
BMS-16805-LC/00,0.0,0.0,1,10,"['ASIY', 'TAFL', 'GRAN', 'PAP', 'RWSL', 'PLC', 'MARA', 'VPEL', 'RIL', 'NTB']"
BMS-16806-LI/00,0.0,0.0,1,10,"['CDB', 'CFIN', 'SFIN', 'CIND', 'TILE', 'LFIN', 'AAIC', 'KVAL', 'UAL', 'PINS']"
BMS-16808-LI/00,0.0,0.0,1,25,"['AMSL', 'SEYB', 'JINS', 'HNB', 'UAL', 'UBC', 'NTB', 'DIST', 'DFCC', 'NHL']"
BMS-16846-LI/00,0.0,0.0,1,14,"['MAL', 'HAPU', 'AGAL', 'TPL', 'UDPL', 'MASK', 'KOTA', 'KVAL', 'TAFL', 'OFEQ']"
BMS-16849-LI/00,0.1,1.0,1,27,"['PABC', 'EDEN', 'COCR', 'SEYB', 'GHLL', 'REEF', 'LDEV', 'CHOT', 'DFCC', 'AHPL']"
BMS-16868-LI/00,0.0,0.0,1,48,"['TAFL', 'BFL', 'HPWR', 'BPPL', 'OSEA', 'PLR', 'RWSL', 'CCS', 'LAMB', 'KGAL']"
BMS-16954-LI/00,0.0,0.0,1,51,"['BFN', 'UAL', 'RWSL', 'PINS', 'AFS', 'HPL', 'CFLB', 'AMF', 'COCR', 'SEYB']"
BMS-17002-LI/00,0.0,0.0,1,36,"['LMF', 'UAL', 'GRAN', 'ASIY', 'ELPL', 'CTBL', 'VPEL', 'CFIN', 'TAFL', 'RAL']"
BMS-17056-LI/00,0.0,0.0,1,18,"['HVA', 'MDL', 'COCR', 'RIL', 'EAST', 'WAPO', 'NIFL', 'JETS', 'REEF', 'MARA']"
BMS-17082-LI/00,0.0,0.0,1,55,"['ACAP', 'UDPL', 'SINI', 'ALHP', 'SELI', 'JKL', 'UML', 'UBC', 'SDB', 'MAL']"
